sku,name,stock_quantity,regular_price,attribute1,attribute1name,status
9500733054895,"Zabawka dmuchana robot 1610G",75,4,PODSTAWOWA,producent,-1
8712581549640,"Bateria PHILIPS R06 4 szt/folia",99,1,PODSTAWOWA,producent,-1
5900851376741,"Strój ŚNIEŻKA ŻÓŁTO-CZERWONA 37674",7,38,PODSTAWOWA,producent,-1
5906824600011,"Zwierzęta duże mix 460-001",4,14,PODSTAWOWA,producent,-1
5909786152871,"Torba młodzieżowa GDYNIA/PIRACI ME004",16,43,PODSTAWOWA,producent,-1
4810344008800,"Volvo samochód z podnośnikiem+klocki 30el.8800",5,63,PODSTAWOWA,producent,-1
9500733055588,"Dmuchany robot 0903F",99,6,PODSTAWOWA,producent,-1
5906198000011,"Piłkarze D 00011",99,19,PODSTAWOWA,producent,-1
8712581605124,"Bateria PHILIPS LR6 ALKALICZNA 6szt/blister",99,2,PODSTAWOWA,producent,-1
5907511304595,"Błyskotki biżuteria samoprzylepna 4595",7,6,PODSTAWOWA,producent,-1
7460748390017,"Parasolka składana 83-9001",9,7,PODSTAWOWA,producent,-1
6607082200201,"Motorek na akumulator 6V 0051",12,288,PODSTAWOWA,producent,-1
5907438272809,"Magia od podszewki 36 trików AB 72809",14,37,PODSTAWOWA,producent,-1
5907707200076,"Wyklejanki + barwniki do jajek 00076",12,2,PODSTAWOWA,producent,-1
5908249082359,"Parasolka krata automat 82359",37,8,PODSTAWOWA,producent,-1
5901238689775,"Świeczki pikery ""urodziny"" SWPUR-MM",7,7,PODSTAWOWA,producent,-1
5907479484117,"Czapka z daszkiem 48413",13,3,PODSTAWOWA,producent,-1
4891691182092,"Samolot metalowy na blistrze 18209",99,6,PODSTAWOWA,producent,-1
4891691161066,"Autko metalowe ze światłem 16106",99,10,PODSTAWOWA,producent,-1
5906822460006,"Zwierzątka małe mix 460-00",12,13,PODSTAWOWA,producent,-1
5901238625582,"Kula dekoracyjna żółta PF-KDZO30",27,7,PODSTAWOWA,producent,-1
5904603380581,"Torebka 9L",4,3,PODSTAWOWA,producent,-1
9500733055571,"Dmuchany robot 0861A",31,7,PODSTAWOWA,producent,-1
4052351016373,"Cars proca 705-2012",71,29,PODSTAWOWA,producent,-1
5906551030020,"Kuferek mini",17,4,PODSTAWOWA,producent,-1
4891691282921,"Wyrzutnia samochodów/2 autka 28292",99,26,PODSTAWOWA,producent,-1
5902341067054,"Domino edukacyjne 67054",6,11,PODSTAWOWA,producent,-1
5900851520946,"Maska kosmiczny wojownik 52094",18,1,PODSTAWOWA,producent,-1
5907609611031,"4 piłki w siatce JP49101",72,3,PODSTAWOWA,producent,-1
4891691181361,"Autko metalowe blister 18136",99,6,PODSTAWOWA,producent,-1
5901924574712,"Torebka upominkowa KR1377M",10,6,PODSTAWOWA,producent,-1
5905094775085,"Zestaw rybki 5 szt  508a",4,24,PODSTAWOWA,producent,-1
5906340308545,"***Puszka wesoła H08545****",8,6,PODSTAWOWA,producent,-1
5908254184024,"Koń na biegunach mały łaciaty 84024",4,214,PODSTAWOWA,producent,-1
5906729632117,"Kubek na długopisy Good Luck 10301",7,10,PODSTAWOWA,producent,-1
5905279877009,"EURO CASH gra edukacyjna 77009",13,160,PODSTAWOWA,producent,-1
5907784429391,"Auto metalowe z dźw.G613BL",4,14,PODSTAWOWA,producent,-1
5909786152499,"Torebka na pasku GDYNIA/PIRACI",14,14,PODSTAWOWA,producent,-1
8712581605643,"Bateria PHILIPS LR3 ALKALICZNA 6szt/blister",99,1,PODSTAWOWA,producent,-1
5904109050193,"Trąbka kibica mała 053",43,6,PODSTAWOWA,producent,-1
5901828150050,"Płozy aluminiowe",4,30,PODSTAWOWA,producent,-1
5902341067030,"Domino na wiejskim podwórku 67030",8,11,PODSTAWOWA,producent,-1
5905558802241,"Płetwy 36-40 33EFE6100",22,15,PODSTAWOWA,producent,-1
5902020445296,"Kostka Rubika oryginał 45296",5,38,PODSTAWOWA,producent,-1
5900851376758,"Strój KSIĘŻNICZKA BIAŁO-SREBRNA 37675",4,38,PODSTAWOWA,producent,-1
5906824480026,"Słoń Welurek z gryzakami",5,12,PODSTAWOWA,producent,-1
5907791566362,"Lokomotywa drewniana - nakręcana 1566362",46,14,PODSTAWOWA,producent,-1
5902341067023,"Domino pojazdy 67023",19,11,PODSTAWOWA,producent,-1
5906485491089,"Statek 91089",11,12,PODSTAWOWA,producent,-1
5901461610034,"Mirage pies Mops zestaw do malowania 61003",4,27,PODSTAWOWA,producent,-1
5900360150047,"MAISTO 1:64 Need for speed 15004",7,19,PODSTAWOWA,producent,-1
5905558802272,"Rurka do pływania 1378",99,5,PODSTAWOWA,producent,-1
5905558119257,"Płetwy 33-36 118848AS",42,15,PODSTAWOWA,producent,-1
5908265287790,"*****Pistolet 135*****",8,1,PODSTAWOWA,producent,-1
5900851449414,"Strój CZERWONY KAPTUREK 44941",6,40,PODSTAWOWA,producent,-1
8712581549701,"Bateria PHILIPS R20",15,3,PODSTAWOWA,producent,-1
5901238675136,"Świeczki urodzinowe magiczne 6/6 SWMG6-TD",24,3,PODSTAWOWA,producent,-1
5901238693505,"Świeczki urodzinowe ""party"" 24szt PF-SUP24",20,2,PODSTAWOWA,producent,-1
5900851497385,"Strój KSIĘŻNICZKA 49738",20,39,PODSTAWOWA,producent,-1
5902020351559,"Aqua koraliki piesek 200 szt A201",14,20,PODSTAWOWA,producent,-1
5902706308006,"Pistolet pukawka+naboje pianka KP2016-2B",54,6,PODSTAWOWA,producent,-1
5906824416018,"Miękki księżyc z grzechotką 416-01",4,7,PODSTAWOWA,producent,-1
7187320095787,"Magiczne klocki BAT AS9578",52,3,PODSTAWOWA,producent,-1
5908254184000,"Koń na biegunach duży łaciaty 84000",5,244,PODSTAWOWA,producent,-1
5907791573896,"Drewno puzzle w pudełku 1573896",22,26,PODSTAWOWA,producent,-1
5907707200212,"Koszulka na jajka kalkomania - 6 00212",26,1,PODSTAWOWA,producent,-1
5907265006936,"Torebka YC-006 Dziecięca 6936 XXL",6,9,PODSTAWOWA,producent,-1
8712581549732,"Bateria PHILIPS 9V 6F22",13,3,PODSTAWOWA,producent,-1
5905558802258,"Płetwy 40-45 33EFE6200",77,19,PODSTAWOWA,producent,-1
5902341067016,"Domino edukacyjne duże 67016",8,16,PODSTAWOWA,producent,-1
5901549277739,"Sprężynka ŁOŚ 77739",4,19,PODSTAWOWA,producent,-1
5907656600019,"Gra Eurobusiness 00019",23,38,PODSTAWOWA,producent,-1
5907735900016,"Butelka zabawka 00016",99,5,PODSTAWOWA,producent,-1
6900365009479,"Lornetka w folii 500947",45,6,PODSTAWOWA,producent,-1
5900851449469,"Strój KRÓLICZEK 44946",9,42,PODSTAWOWA,producent,-1
5903235251054,"Piórnik saszetka 25105",4,20,PODSTAWOWA,producent,-1
5900851449575,"Strój KSIĘŻNICZKA 44957",4,45,PODSTAWOWA,producent,-1
5905156008786,"Kręgle MAX WG-06",9,23,PODSTAWOWA,producent,-1
8717438471068,"Kolorowanki dla dorosłych deluxe P384034",4,19,PODSTAWOWA,producent,-1
5901703112470,"Miś Cedric w szaliczku 22cm 13264",4,41,PODSTAWOWA,producent,-1
8711384027942,"Budzik HSM 957213",5,24,PODSTAWOWA,producent,-1
5907773904496,"Torebka z cekinami J0628",4,6,PODSTAWOWA,producent,-1
5908254184017,"Koń na biegunach duży brązowy 84017",5,244,PODSTAWOWA,producent,-1
8712581549671,"Bateria PHILIPS R14",87,2,PODSTAWOWA,producent,-1
5909786152512,"Portfel GDYNIA/PIRACI",10,20,PODSTAWOWA,producent,-1
5011363525630,"Gra Spadające małpki 52563 /4 ",99,99,MATTEL,producent,-1
6947731014705,"*****BOOMCO strzałki 16szt Y8621 /16*****",99,8,MATTEL,producent,-1
0746775321185,"*****FP krzesełko-nakładka krówka BGF79 /2*****",87,64,MATTEL,producent,-1
6947731023981,"*****Barbie opiekunka+mebelki+bobas pije DVJ60***",37,112,MATTEL,producent,-1
6947731019052,"*****BOOMCO Spinsanity 3X+30 rzutek DGV43 /2*****",48,94,MATTEL,producent,-1
5011363524565,"UNO karty Junior 52456 /12",99,19,MATTEL,producent,-1
0887961258950,"MEGA BLOKS First Builders 1-2-3!  DLH85 /4",26,57,MATTEL,producent,-1
5010994848095,"*****PLD DOHVINCI niezbędnik ucznia A9209 /5*****",99,12,HASBRO,producent,-1
5900511602371,"V-TECH ABC smartfonik 60237",22,110,VTECH,producent,-1
9788379831685,"Logiczne zagadki zemsta robotów 58.11.1",17,19,ZIELONASOWA,producent,-1
9788379839520,"Wielkie zabawy. Dinozaury 58.11.1",13,13,ZIELONASOWA,producent,-1
9788379838080,"Kolorowanki Wielkanoc Koszyczek cz 3 58.11.1",5,6,ZIELONASOWA,producent,-1
